best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42004,43.84,0
46.0325,real_chemlex_acidamine,86.75,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42004,13.25,0
78.1275,real_chemlex_acidamine,88.86,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42004,11.14,0
49.405,real_chemlex_acidamine,56.16,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42004,43.84,0
4.4612,real_chemlex_acidamine,4.87,mixed_kernel_gp_ei,42004,95.13,0
95.3837,real_chemlex_acidamine,100.0,gp_ucb,42005,0.0,0
94.0487,real_chemlex_acidamine,96.17,llm_direct_prior_acid_amine_coupling_hypothesis,42005,3.83,0
88.6713,real_chemlex_acidamine,95.54,llm_direct_prior_amine_aromatic_interaction_hypothesis,42005,4.46,0
88.6713,real_chemlex_acidamine,95.54,llm_direct_prior_amine_branching_effect_hypothesis,42005,4.46,0
96.59,real_chemlex_acidamine,97.02,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42005,2.98,0
88.785,real_chemlex_acidamine,90.61,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42005,9.39,0
88.6713,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42005,4.46,0
89.6525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42005,4.46,0
89.6525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42005,4.46,0
94.29,real_chemlex_acidamine,98.25,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42005,1.75,0
89.2287,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42005,0.0,1
87.69,real_chemlex_acidamine,87.69,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42005,12.31,0
88.6713,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42005,4.46,0
90.6338,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42005,4.46,0
89.6525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42005,4.46,0
