pair_id,domain,comparison,metric,count,mean,standard_deviation,normal_95ci_low,normal_95ci_high,positive_fraction,zero_fraction
lipophilicity_to_freesolv,molecular_property,source_router_minus_strongest_bo,best_so_far_auc,300,13.143301333333332,15.974746860841272,11.335588550866136,14.951014115800527,0.8166666666666667,0.013333333333333334
lipophilicity_to_freesolv,molecular_property,source_router_minus_strongest_bo,top10_hit,300,0.2733333333333333,0.6217535528571783,0.20297529543544052,0.3436913712312261,0.36666666666666664,0.54
lipophilicity_to_freesolv,molecular_property,target_only_llm_router_minus_strongest_bo,final_best,300,33.40444633333333,14.508997928634848,31.7625986568186,35.04629400984807,0.95,0.05
lipophilicity_to_freesolv,molecular_property,target_only_llm_router_minus_strongest_bo,best_so_far_auc,300,43.045549,12.602297007041134,41.61946484439313,44.471633155606874,0.9966666666666667,0.0033333333333333335
lipophilicity_to_freesolv,molecular_property,target_only_llm_router_minus_strongest_bo,top10_hit,300,0.46,0.49923017660270624,0.4035067873375653,0.5164932126624348,0.46,0.54
matbench_expt_gap_to_dielectric,materials_property,source_router_minus_target_only_llm_router,final_best,300,15.26479733333334,19.55920011920229,13.05146548035812,17.478129186308557,0.8133333333333334,0.0033333333333333335
matbench_expt_gap_to_dielectric,materials_property,source_router_minus_target_only_llm_router,best_so_far_auc,300,13.084853666666666,10.545922218095498,11.89147022449849,14.278237108834842,0.8833333333333333,0.0
matbench_expt_gap_to_dielectric,materials_property,source_router_minus_target_only_llm_router,top10_hit,300,0.20333333333333334,0.6403298341823811,0.13087319131480551,0.27579347535186116,0.32666666666666666,0.55
matbench_expt_gap_to_dielectric,materials_property,source_router_minus_strongest_bo,final_best,300,20.447276333333335,18.220136395245355,18.38547380544988,22.50907886121679,0.86,0.016666666666666666
matbench_expt_gap_to_dielectric,materials_property,source_router_minus_strongest_bo,best_so_far_auc,300,15.783431666666665,10.549566140501067,14.589635875860463,16.977227457472868,0.92,0.0
matbench_expt_gap_to_dielectric,materials_property,source_router_minus_strongest_bo,top10_hit,300,0.39,0.570659420243847,0.3254238075008974,0.45457619249910264,0.43333333333333335,0.5233333333333333
matbench_expt_gap_to_dielectric,materials_property,target_only_llm_router_minus_strongest_bo,final_best,300,5.182478999999998,18.977983170163675,3.034918036373842,7.330039963626154,0.5,0.07
matbench_expt_gap_to_dielectric,materials_property,target_only_llm_router_minus_strongest_bo,best_so_far_auc,300,2.698578,11.406462537901243,1.407815253515302,3.989340746484698,0.5633333333333334,0.03666666666666667
matbench_expt_gap_to_dielectric,materials_property,target_only_llm_router_minus_strongest_bo,top10_hit,300,0.18666666666666668,0.49595914529481233,0.13054360604223542,0.24278972729109793,0.23333333333333334,0.72
matbench_phonons_to_dielectric,materials_property,source_router_minus_target_only_llm_router,final_best,300,6.788952666666669,17.586627712207516,4.798838394885643,8.779066938447693,0.6433333333333333,0.016666666666666666
matbench_phonons_to_dielectric,materials_property,source_router_minus_target_only_llm_router,best_so_far_auc,300,4.415762333333333,12.398869656985575,3.0126981494482235,5.818826517218444,0.6533333333333333,0.013333333333333334
matbench_phonons_to_dielectric,materials_property,source_router_minus_target_only_llm_router,top10_hit,300,-0.21333333333333335,0.4781047682817383,-0.2674359810003212,-0.15923068566634552,0.03,0.7266666666666667
matbench_phonons_to_dielectric,materials_property,source_router_minus_strongest_bo,final_best,300,11.971431666666668,13.53749205689637,10.439520228759166,13.503343104574169,0.77,0.043333333333333335
matbench_phonons_to_dielectric,materials_property,source_router_minus_strongest_bo,best_so_far_auc,300,7.114340333333333,11.203903358566613,5.846499315804907,8.382181350861758,0.7466666666666667,0.02
matbench_phonons_to_dielectric,materials_property,source_router_minus_strongest_bo,top10_hit,300,-0.02666666666666667,0.3361530680698872,-0.06470596727712398,0.011372633943790646,0.043333333333333335,0.8866666666666667
matbench_phonons_to_dielectric,materials_property,target_only_llm_router_minus_strongest_bo,final_best,300,5.182478999999998,18.977983170163675,3.034918036373842,7.330039963626154,0.5,0.07
matbench_phonons_to_dielectric,materials_property,target_only_llm_router_minus_strongest_bo,best_so_far_auc,300,2.698578,11.406462537901243,1.407815253515302,3.989340746484698,0.5633333333333334,0.03666666666666667
matbench_phonons_to_dielectric,materials_property,target_only_llm_router_minus_strongest_bo,top10_hit,300,0.18666666666666668,0.49595914529481233,0.13054360604223542,0.24278972729109793,0.23333333333333334,0.72
chemlex_to_buchwald_hartwig,reaction_hte,source_router_minus_target_only_llm_router,final_best,300,3.9705820000000003,10.54384092119094,2.777434078748133,5.163729921251868,0.5733333333333334,0.09666666666666666
chemlex_to_buchwald_hartwig,reaction_hte,source_router_minus_target_only_llm_router,best_so_far_auc,300,4.397704,9.907150197612033,3.276604416635301,5.518803583364699,0.6333333333333333,0.02666666666666667
chemlex_to_buchwald_hartwig,reaction_hte,source_router_minus_target_only_llm_router,top10_hit,300,0.19333333333333333,0.5570666924960757,0.13029530277897333,0.2563713638876933,0.27,0.6533333333333333
chemlex_to_buchwald_hartwig,reaction_hte,source_router_minus_strongest_bo,final_best,300,3.0868726666666673,9.116532886407496,2.0552398543221524,4.118505479011182,0.5466666666666666,0.1
chemlex_to_buchwald_hartwig,reaction_hte,source_router_minus_strongest_bo,best_so_far_auc,300,4.266197,9.611275765594216,3.1785787604977767,5.353815239502223,0.6266666666666667,0.02666666666666667
chemlex_to_buchwald_hartwig,reaction_hte,source_router_minus_strongest_bo,top10_hit,300,0.18666666666666668,0.5770025957833216,0.12137267628293842,0.25196065705039494,0.27666666666666667,0.6333333333333333
chemlex_to_buchwald_hartwig,reaction_hte,target_only_llm_router_minus_strongest_bo,final_best,300,-0.8837093333333333,6.19886210762999,-1.5851766158092042,-0.18224205085746248,0.17333333333333334,0.6
chemlex_to_buchwald_hartwig,reaction_hte,target_only_llm_router_minus_strongest_bo,best_so_far_auc,300,-0.1315070000000001,3.6372534376941243,-0.5431009732672646,0.2800869732672644,0.29333333333333333,0.43
chemlex_to_buchwald_hartwig,reaction_hte,target_only_llm_router_minus_strongest_bo,top10_hit,300,-0.006666666666666667,0.28323658916241157,-0.03871790398213154,0.025384570648798205,0.03666666666666667,0.92
