source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93017,3,12,70.0099,64.8955,23.0641,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93018,3,12,81.6927,78.329783,11.3813,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93018,3,12,73.8554,64.8812,19.2186,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93018,3,12,62.0592,58.246717,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93018,3,12,39.1843,39.1843,53.8897,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93019,3,12,76.2404,71.222917,16.8336,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93019,3,12,67.7572,66.0188,25.3168,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93019,3,12,74.8839,68.71295,18.1901,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93019,3,12,62.542,62.542,30.532,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93020,3,12,88.7493,88.4133,4.3247,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93020,3,12,73.8554,71.0166,19.2186,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93020,3,12,88.7493,87.7413,4.3247,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93020,3,12,71.1022,69.181133,21.9718,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93021,3,12,88.7493,86.446833,4.3247,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93021,3,12,62.0592,60.577717,31.0148,0,2,1024
