condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_98117,98117,0.12986275499428082,0.02336061755087357,0.23636489243768807,-0.2543732888971116,-0.49142308100897103,-0.017323496785252107,-0.16,-0.23221677803878427,-0.08778322196121575,55,13,32
permuted_source_outcomes_98118,98118,-0.15912013246495385,-0.26668458621413055,-0.05155567871577714,-0.5870724112587165,-0.8290655612437148,-0.3450792612737181,-0.16,-0.23221677803878427,-0.08778322196121575,32,18,50
permuted_source_outcomes_98119,98119,-0.10232878011550475,-0.22695736636161273,0.022299806130603214,-0.12942235247362469,-0.4470001176702951,0.18815541272304573,-0.07,-0.15475038571468497,0.014750385714684969,34,15,51
permuted_source_outcomes_98120,98120,0.32889285442162747,0.18352277863073363,0.4742629302125213,0.4242021577680745,0.1677271446978401,0.6806771708383089,-0.16,-0.23221677803878427,-0.08778322196121575,70,11,19
permuted_source_outcomes_98121,98121,-0.21670079510115514,-0.34668828747097935,-0.08671330273133093,-0.5078264156002347,-0.7737461784980844,-0.24190665270238504,-0.13,-0.21195718024639082,-0.04804281975360919,26,13,61
permuted_source_outcomes_98122,98122,-0.02850699291495706,-0.17158248330111273,0.1145684974711986,-0.4715395039117894,-0.7293838622312646,-0.21369514559231417,-0.16,-0.23221677803878427,-0.08778322196121575,38,18,44
permuted_source_outcomes_98123,98123,-0.010498871887448408,-0.1189440918066036,0.09794634803170678,-0.2939657809768767,-0.5428173216157657,-0.04511424033798778,-0.16,-0.23221677803878427,-0.08778322196121575,51,10,39
permuted_source_outcomes_98124,98124,-0.002606561199522807,-0.12058666504840199,0.11537354264935637,-0.2812148807010077,-0.5212593353160209,-0.04117042608599447,-0.16,-0.23221677803878427,-0.08778322196121575,51,14,35
permuted_source_outcomes_98125,98125,0.024592500491706186,-0.08658223769089765,0.13576723867431004,0.17346960249181,-0.12097911538964448,0.46791832037326453,0.05,-0.05188268159054711,0.15188268159054713,43,13,44
permuted_source_outcomes_98126,98126,0.04506498517908374,-0.07408089909746851,0.16421086945563598,-0.1999876370838998,-0.4465781231886627,0.04660284902086309,-0.15,-0.2203385751313968,-0.0796614248686032,51,15,34
