target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90000,3,10,baumgartner_cn_aniline_tbuxphos_006;baumgartner_cn_aniline_tbuxphos_013;baumgartner_cn_aniline_tbuxphos_004,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90001,3,10,baumgartner_cn_aniline_tbuxphos_035;baumgartner_cn_aniline_tbuxphos_021;baumgartner_cn_aniline_tbuxphos_013,,100.0,99.52648,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90002,3,10,baumgartner_cn_aniline_tbuxphos_035;baumgartner_cn_aniline_tbuxphos_030;baumgartner_cn_aniline_tbuxphos_011,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90003,3,10,baumgartner_cn_aniline_tbuxphos_019;baumgartner_cn_aniline_tbuxphos_008;baumgartner_cn_aniline_tbuxphos_030,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90004,3,10,baumgartner_cn_aniline_tbuxphos_009;baumgartner_cn_aniline_tbuxphos_014;baumgartner_cn_aniline_tbuxphos_013,,100.0,98.51743,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90005,3,10,baumgartner_cn_aniline_tbuxphos_002;baumgartner_cn_aniline_tbuxphos_009;baumgartner_cn_aniline_tbuxphos_006,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90006,3,10,baumgartner_cn_aniline_tbuxphos_028;baumgartner_cn_aniline_tbuxphos_012;baumgartner_cn_aniline_tbuxphos_027,,100.0,99.38688,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90007,3,10,baumgartner_cn_aniline_tbuxphos_015;baumgartner_cn_aniline_tbuxphos_026;baumgartner_cn_aniline_tbuxphos_013,,100.0,97.11966,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90008,3,10,baumgartner_cn_aniline_tbuxphos_019;baumgartner_cn_aniline_tbuxphos_012;baumgartner_cn_aniline_tbuxphos_016,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90009,3,10,baumgartner_cn_aniline_tbuxphos_030;baumgartner_cn_aniline_tbuxphos_001;baumgartner_cn_aniline_tbuxphos_004,,100.0,99.68148,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90010,3,10,baumgartner_cn_aniline_tbuxphos_024;baumgartner_cn_aniline_tbuxphos_025;baumgartner_cn_aniline_tbuxphos_035,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90011,3,10,baumgartner_cn_aniline_tbuxphos_020;baumgartner_cn_aniline_tbuxphos_029;baumgartner_cn_aniline_tbuxphos_005,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90012,3,10,baumgartner_cn_aniline_tbuxphos_032;baumgartner_cn_aniline_tbuxphos_031;baumgartner_cn_aniline_tbuxphos_007,,100.0,99.76866,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90013,3,10,baumgartner_cn_aniline_tbuxphos_001;baumgartner_cn_aniline_tbuxphos_031;baumgartner_cn_aniline_tbuxphos_010,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90014,3,10,baumgartner_cn_aniline_tbuxphos_008;baumgartner_cn_aniline_tbuxphos_002;baumgartner_cn_aniline_tbuxphos_032,,100.0,99.45388,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90015,3,10,baumgartner_cn_aniline_tbuxphos_002;baumgartner_cn_aniline_tbuxphos_034;baumgartner_cn_aniline_tbuxphos_028,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90016,3,10,baumgartner_cn_aniline_tbuxphos_016;baumgartner_cn_aniline_tbuxphos_005;baumgartner_cn_aniline_tbuxphos_022,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90017,3,10,baumgartner_cn_aniline_tbuxphos_017;baumgartner_cn_aniline_tbuxphos_005;baumgartner_cn_aniline_tbuxphos_034,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90018,3,10,baumgartner_cn_aniline_tbuxphos_011;baumgartner_cn_aniline_tbuxphos_013;baumgartner_cn_aniline_tbuxphos_010,,100.0,97.55604,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90019,3,10,baumgartner_cn_aniline_tbuxphos_015;baumgartner_cn_aniline_tbuxphos_011;baumgartner_cn_aniline_tbuxphos_014,,100.0,97.6984,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90020,3,10,baumgartner_cn_aniline_tbuxphos_031;baumgartner_cn_aniline_tbuxphos_023;baumgartner_cn_aniline_tbuxphos_004,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90021,3,10,baumgartner_cn_aniline_tbuxphos_021;baumgartner_cn_aniline_tbuxphos_035;baumgartner_cn_aniline_tbuxphos_028,,100.0,99.76866,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90022,3,10,baumgartner_cn_aniline_tbuxphos_008;baumgartner_cn_aniline_tbuxphos_010;baumgartner_cn_aniline_tbuxphos_004,,100.0,94.05416,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90023,3,10,baumgartner_cn_aniline_tbuxphos_009;baumgartner_cn_aniline_tbuxphos_012;baumgartner_cn_aniline_tbuxphos_030,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90024,3,10,baumgartner_cn_aniline_tbuxphos_007;baumgartner_cn_aniline_tbuxphos_002;baumgartner_cn_aniline_tbuxphos_030,,100.0,99.52222,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90025,3,10,baumgartner_cn_aniline_tbuxphos_006;baumgartner_cn_aniline_tbuxphos_027;baumgartner_cn_aniline_tbuxphos_024,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90026,3,10,baumgartner_cn_aniline_tbuxphos_009;baumgartner_cn_aniline_tbuxphos_011;baumgartner_cn_aniline_tbuxphos_028,,100.0,98.67669,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90027,3,10,baumgartner_cn_aniline_tbuxphos_024;baumgartner_cn_aniline_tbuxphos_000;baumgartner_cn_aniline_tbuxphos_006,,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90028,3,10,baumgartner_cn_aniline_tbuxphos_027;baumgartner_cn_aniline_tbuxphos_033;baumgartner_cn_aniline_tbuxphos_029,,100.0,98.02104,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_random_initial,90029,3,10,baumgartner_cn_aniline_tbuxphos_027;baumgartner_cn_aniline_tbuxphos_009;baumgartner_cn_aniline_tbuxphos_021,,100.0,98.89214,0.0,1
real_baumgartner_cn_aniline_tbuxphos,target_gp_space_filling,-1,3,10,baumgartner_cn_aniline_tbuxphos_027;baumgartner_cn_aniline_tbuxphos_004;baumgartner_cn_aniline_tbuxphos_017,,100.0,97.5263,0.0,1
real_baumgartner_cn_aniline_tbuxphos,warmstart_all_0.40,-1,3,10,baumgartner_cn_aniline_tbuxphos_022;baumgartner_cn_aniline_tbuxphos_019;baumgartner_cn_aniline_tbuxphos_035,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,warmstart_all_0.70,-1,3,10,baumgartner_cn_aniline_tbuxphos_022;baumgartner_cn_aniline_tbuxphos_004;baumgartner_cn_aniline_tbuxphos_034,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,warmstart_all_0.85,-1,3,10,baumgartner_cn_aniline_tbuxphos_022;baumgartner_cn_aniline_tbuxphos_004;baumgartner_cn_aniline_tbuxphos_034,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos;real_baumgartner_cn_benzamide_tbuxphos;real_baumgartner_cn_benzamide_tbubrettphos;real_baumgartner_cn_benzamide_alphos;real_baumgartner_cn_phenethylamine_tbuxphos;real_baumgartner_cn_phenethylamine_tbubrettphos,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,warmstart_same_substrate_then_precatalyst_0.40,-1,3,10,baumgartner_cn_aniline_tbuxphos_031;baumgartner_cn_aniline_tbuxphos_011;baumgartner_cn_aniline_tbuxphos_025,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,warmstart_same_substrate_then_precatalyst_0.70,-1,3,10,baumgartner_cn_aniline_tbuxphos_031;baumgartner_cn_aniline_tbuxphos_011;baumgartner_cn_aniline_tbuxphos_022,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,100.0,100.0,0.0,1
real_baumgartner_cn_aniline_tbuxphos,warmstart_same_substrate_then_precatalyst_0.85,-1,3,10,baumgartner_cn_aniline_tbuxphos_031;baumgartner_cn_aniline_tbuxphos_011;baumgartner_cn_aniline_tbuxphos_002,real_baumgartner_cn_aniline_ephos;real_baumgartner_cn_aniline_tbubrettphos;real_baumgartner_cn_aniline_alphos,100.0,100.0,0.0,1
