best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
75.0811,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_random_rule_r3_branching_effect_on_solubility,44004,5.0583,1
81.0057,real_moleculenet_freesolv_continuous,86.3185,llm_direct_prior_random_rule_r3_double_bond_restriction,44004,12.0416,0
79.6311,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_random_rule_r3_hydrogen_bonding_effect,44004,5.0583,1
69.2602,real_moleculenet_freesolv_continuous,89.7154,llm_direct_prior_random_rule_r3_ring_structure_influence,44004,8.6447,1
75.0811,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_ring_structure_influence,44004,5.0583,1
65.4019,real_moleculenet_freesolv_continuous,72.5518,mixed_kernel_gp_ei,44004,25.8083,0
72.8797,real_moleculenet_freesolv_continuous,76.8525,gp_ucb,44005,21.5076,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_branching_effect_on_solubility,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_double_bond_restriction,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_hydrogen_bonding_effect,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r1_branching_effect_on_solubility,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r1_double_bond_restriction,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r1_hydrogen_bonding_effect,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r1_ring_structure_influence,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r2_branching_effect_on_solubility,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r2_double_bond_restriction,44005,26.0479,0
