dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,target_local_no_gate,10,96.7609,78.0058,3.2391,0,0,0,0,0,0,48,0.4122,0.5,0
real_suzuki_miyaura,target_local_gate_v1,10,96.7609,78.0058,3.2391,0,0,0,0,0,0,48,0.4122,0.5,0
real_suzuki_miyaura,transfer_no_gate,10,94.676,67.3447,5.324,0,6,4,0,7,26579,48,0.4122,0.5,0
real_suzuki_miyaura,transfer_gate_v1,10,94.676,67.3447,5.324,0,6,4,0,7,26579,48,0.4122,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,10,94.676,67.3447,5.324,0,6,4,0,7,26579,48,0.4122,0.5,0
real_suzuki_miyaura,no_care_random,11,92.7985,92.7985,7.2015,0,0,0,0,0,0,48,0.2999,0.5,0
real_suzuki_miyaura,incumbent,11,92.7985,92.7985,7.2015,0,0,0,0,0,0,48,0.2999,0.5,0
real_suzuki_miyaura,target_local_no_gate,11,92.7985,92.7985,7.2015,0,0,0,0,0,0,48,0.2999,0.5,0
real_suzuki_miyaura,target_local_gate_v1,11,92.7985,92.7985,7.2015,0,0,0,0,0,0,48,0.2999,0.5,0
real_suzuki_miyaura,transfer_no_gate,11,92.7985,92.7985,7.2015,0,4,3,0,7,28510,48,0.2999,0.5,0
real_suzuki_miyaura,transfer_gate_v1,11,92.7985,92.7985,7.2015,0,4,3,0,7,28510,48,0.2999,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,11,92.7985,92.7985,7.2015,0,2,1,0,7,27911,48,0.2999,0.5,0
real_suzuki_miyaura,no_care_random,12,93.2707,92.9673,6.7293,0,0,0,0,0,0,48,0.3421,0.5,0
real_suzuki_miyaura,incumbent,12,91.7536,91.7536,8.2464,0,0,0,0,0,0,48,0.3421,0.5,0
real_suzuki_miyaura,target_local_no_gate,12,91.7536,91.7536,8.2464,0,0,0,0,0,0,48,0.3421,0.5,0
real_suzuki_miyaura,target_local_gate_v1,12,91.7536,91.7536,8.2464,0,0,0,0,0,0,48,0.3421,0.5,0
real_suzuki_miyaura,transfer_no_gate,12,98.6922,95.5782,1.3078,1,3,1,0,7,35694,48,0.3421,0.5,0
real_suzuki_miyaura,transfer_gate_v1,12,98.6922,95.5782,1.3078,1,3,1,0,7,35694,48,0.3421,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,12,98.6922,95.5782,1.3078,1,3,1,0,7,35694,48,0.3421,0.5,0
real_suzuki_miyaura,no_care_random,13,92.6982,79.9617,7.3018,0,0,0,0,0,0,48,0.4284,0.5,0
real_suzuki_miyaura,incumbent,13,94.3893,75.5794,5.6107,0,0,0,0,0,0,48,0.4284,0.5,0
real_suzuki_miyaura,target_local_no_gate,13,94.3893,75.5794,5.6107,0,0,0,0,0,0,48,0.4284,0.5,0
real_suzuki_miyaura,target_local_gate_v1,13,94.3893,75.5794,5.6107,0,0,0,0,0,0,48,0.4284,0.5,0
real_suzuki_miyaura,transfer_no_gate,13,59.2066,53.9325,40.7934,0,4,2,0,7,29053,48,0.4284,0.5,0
real_suzuki_miyaura,transfer_gate_v1,13,59.2066,53.9325,40.7934,0,4,2,0,7,29053,48,0.4284,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,13,73.2139,57.1298,26.7861,0,1,1,0,7,28628,48,0.4284,0.5,0
real_suzuki_miyaura,no_care_random,14,91.8179,91.8179,8.1821,0,0,0,0,0,0,48,0.406,0.5,0
real_suzuki_miyaura,incumbent,14,96.2966,92.4622,3.7034,0,0,0,0,0,0,48,0.406,0.5,0
real_suzuki_miyaura,target_local_no_gate,14,96.2966,92.4622,3.7034,0,0,0,0,0,0,48,0.406,0.5,0
real_suzuki_miyaura,target_local_gate_v1,14,96.2966,92.4622,3.7034,0,0,0,0,0,0,48,0.406,0.5,0
