source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94025,3,12,62.0506,62.0506,20.8488,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94026,3,12,58.8698,58.8698,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94026,3,12,50.0531,47.680758,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94026,3,12,58.8698,56.703025,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94026,3,12,47.5923,44.111667,35.3071,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94027,3,12,82.8994,73.27525,0.0,1,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94027,3,12,53.8,51.8728,29.0994,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94027,3,12,54.4837,50.771483,28.4157,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94027,3,12,44.5024,43.889133,38.397,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94028,3,12,56.7405,52.267308,26.1589,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94028,3,12,50.0531,49.0688,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94028,3,12,52.6543,49.569425,30.2451,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94028,3,12,44.1473,44.1473,38.7521,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94029,3,12,54.222,52.920125,28.6774,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94029,3,12,53.8,51.294933,29.0994,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94029,3,12,51.0975,51.0975,31.8019,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94029,3,12,47.5923,43.28615,35.3071,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94030,3,12,58.2685,57.10245,24.6309,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94030,3,12,50.993,50.993,31.9064,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94030,3,12,58.2685,54.024458,24.6309,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94030,3,12,50.993,50.993,31.9064,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94031,3,12,57.046,55.037142,25.8534,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94031,3,12,50.0531,48.523117,32.8463,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94031,3,12,58.8698,54.666275,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94031,3,12,46.3069,45.854092,36.5925,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,target_gp_ucb,94032,3,12,58.8698,58.514917,24.0296,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_rgpe,94032,3,12,43.3406,43.018767,39.5588,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_icm_bma,94032,3,12,57.677,55.226133,25.2224,0,1,512
real_flip2_hydro_p01053,real_flip2_hydro_p0a9x9,multisource_skill_prior,94032,3,12,44.5024,44.5024,38.397,0,1,512
