target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93049,3,10,baumgartner_cn_aniline_ephos_005;baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_027,,90.4372,58.59656,8.1925,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93050,3,10,baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_031,,96.4441,92.71958,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93051,3,10,baumgartner_cn_aniline_ephos_017;baumgartner_cn_aniline_ephos_023;baumgartner_cn_aniline_ephos_004,,96.4441,93.44065,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93052,3,10,baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_020,,98.6297,62.53547,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93053,3,10,baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_007,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93054,3,10,baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_025;baumgartner_cn_aniline_ephos_002,,98.6297,73.18727,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93055,3,10,baumgartner_cn_aniline_ephos_027;baumgartner_cn_aniline_ephos_011;baumgartner_cn_aniline_ephos_008,,96.4441,85.30227,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93056,3,10,baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_007;baumgartner_cn_aniline_ephos_009,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93057,3,10,baumgartner_cn_aniline_ephos_033;baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_015,,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93058,3,10,baumgartner_cn_aniline_ephos_004;baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_005,,96.4441,94.64203,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93059,3,10,baumgartner_cn_aniline_ephos_019;baumgartner_cn_aniline_ephos_012;baumgartner_cn_aniline_ephos_029,,96.4441,58.50902,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93060,3,10,baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_027,,98.6297,65.38219,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93061,3,10,baumgartner_cn_aniline_ephos_027;baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_017,,96.4441,91.98832,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93062,3,10,baumgartner_cn_aniline_ephos_004;baumgartner_cn_aniline_ephos_022;baumgartner_cn_aniline_ephos_027,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93063,3,10,baumgartner_cn_aniline_ephos_028;baumgartner_cn_aniline_ephos_029;baumgartner_cn_aniline_ephos_025,,96.4441,94.64203,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93064,3,10,baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_025,,96.4441,91.98832,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93065,3,10,baumgartner_cn_aniline_ephos_026;baumgartner_cn_aniline_ephos_001;baumgartner_cn_aniline_ephos_032,,98.6297,67.50815,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93066,3,10,baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_013;baumgartner_cn_aniline_ephos_005,,98.6297,92.20688,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93067,3,10,baumgartner_cn_aniline_ephos_008;baumgartner_cn_aniline_ephos_005;baumgartner_cn_aniline_ephos_024,,98.6297,87.87289,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93068,3,10,baumgartner_cn_aniline_ephos_031;baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_015,,96.4441,92.17908,2.1856,1
