source_dataset,target_dataset,family,mode,policy,seeds,calibration_seeds,heldout_seeds,final_best_mean,final_best_std,best_so_far_auc_mean,best_so_far_auc_std,top10_hit_mean,top10_hit_std,balanced_score,cal_final_best_mean,cal_final_best_std,cal_best_so_far_auc_mean,cal_best_so_far_auc_std,cal_top10_hit_mean,cal_top10_hit_std,cal_balanced_score,heldout_final_best_mean,heldout_final_best_std,heldout_best_so_far_auc_mean,heldout_best_so_far_auc_std,heldout_top10_hit_mean,heldout_top10_hit_std,heldout_balanced_score
real_chemlex_acidamine,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_6,weighted_kernel:transfer_weighted_gp_ucb_scale_6,50,25,25,88.8831,11.0883,82.3371,11.6819,0.22,0.4142,171.4402,87.3435,11.8263,82.7865,11.6797,0.2,0.4,170.33,90.4226,10.0647,81.8877,11.6667,0.24,0.4271,172.5503
real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate,transfer_descriptor_target_calibrated_gate_v1,transfer_gate:transfer_descriptor_target_calibrated_gate_v1,50,25,25,92.4869,6.4608,88.0892,9.229,0.1,0.3,180.6761,92.497,7.1492,88.1601,9.9634,0.12,0.325,180.7771,92.4769,5.6897,88.0182,8.4302,0.08,0.2713,180.5751
real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate,transfer_descriptor_target_calibrated_strict_gate_v1,transfer_gate:transfer_descriptor_target_calibrated_strict_gate_v1,50,25,25,90.1331,9.2019,86.9489,10.7193,0.08,0.2713,177.162,90.4877,10.0268,87.0657,11.6547,0.08,0.2713,177.6334,89.7786,8.2802,86.8321,9.6926,0.08,0.2713,176.6907
real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate,transfer_gate_v1,transfer_gate:transfer_gate_v1,50,25,25,92.4869,6.4608,88.0892,9.229,0.1,0.3,180.6761,92.497,7.1492,88.1601,9.9634,0.12,0.325,180.7771,92.4769,5.6897,88.0182,8.4302,0.08,0.2713,180.5751
real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate,transfer_strict_gate_v1,transfer_gate:transfer_strict_gate_v1,50,25,25,90.1331,9.2019,86.9489,10.7193,0.08,0.2713,177.162,90.4877,10.0268,87.0657,11.6547,0.08,0.2713,177.6334,89.7786,8.2802,86.8321,9.6926,0.08,0.2713,176.6907
real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate,transfer_value_prior_gate_v1,transfer_gate:transfer_value_prior_gate_v1,50,25,25,92.4869,6.4608,88.0892,9.229,0.1,0.3,180.6761,92.497,7.1492,88.1601,9.9634,0.12,0.325,180.7771,92.4769,5.6897,88.0182,8.4302,0.08,0.2713,180.5751
real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate,transfer_value_prior_strict_gate_v1,transfer_gate:transfer_value_prior_strict_gate_v1,50,25,25,90.1331,9.2019,86.9489,10.7193,0.08,0.2713,177.162,90.4877,10.0268,87.0657,11.6547,0.08,0.2713,177.6334,89.7786,8.2802,86.8321,9.6926,0.08,0.2713,176.6907
real_moleculenet_esol,real_moleculenet_freesolv,value_prior,transfer_value_prior_gate_v1,value_prior:transfer_value_prior_gate_v1,50,25,25,64.004,16.3388,57.1633,16.6979,0.48,0.4996,121.6473,63.408,17.5898,56.1957,17.6679,0.48,0.4996,120.0837,64.6,14.96,58.1308,15.6081,0.48,0.4996,123.2108
real_moleculenet_esol,real_moleculenet_freesolv,value_prior,transfer_value_prior_strict_gate_v1,value_prior:transfer_value_prior_strict_gate_v1,50,25,25,64.0207,16.2925,57.1621,16.6741,0.48,0.4996,121.6628,62.5547,17.3464,56.2912,17.6481,0.44,0.4964,119.2859,65.4867,15.0231,58.0329,15.591,0.52,0.4996,124.0396
real_moleculenet_esol,real_moleculenet_lipophilicity,value_prior,transfer_value_prior_gate_v1,value_prior:transfer_value_prior_gate_v1,50,25,25,87.6025,3.4756,85.7322,4.0489,0.06,0.2375,173.3947,87.195,3.1155,85.555,3.9873,0.0,0.0,172.75,88.01,3.7578,85.9095,4.102,0.12,0.325,174.0395
real_moleculenet_esol,real_moleculenet_lipophilicity,value_prior,transfer_value_prior_strict_gate_v1,value_prior:transfer_value_prior_strict_gate_v1,50,25,25,87.7675,3.0817,85.7815,3.9597,0.04,0.196,173.589,87.575,2.892,85.8455,3.7775,0.0,0.0,173.4205,87.96,3.249,85.7175,4.133,0.08,0.2713,173.7575
real_moleculenet_freesolv,real_moleculenet_lipophilicity,hybrid_gp,hybrid_transfer_gp_ucb_gate_v1,hybrid_gp:hybrid_transfer_gp_ucb_gate_v1,50,25,25,88.395,3.5009,86.4265,3.3364,0.08,0.2713,174.9015,88.38,3.4325,86.458,3.2598,0.08,0.2713,174.918,88.41,3.568,86.395,3.4111,0.08,0.2713,174.885
real_moleculenet_freesolv,real_moleculenet_lipophilicity,hybrid_gp,hybrid_transfer_gp_ucb_no_gate,hybrid_gp:hybrid_transfer_gp_ucb_no_gate,50,25,25,88.41,3.4698,86.3113,3.2202,0.1,0.3,174.8213,88.805,3.6843,86.451,3.1971,0.16,0.3666,175.416,88.015,3.1926,86.1715,3.2371,0.04,0.196,174.2265
real_moleculenet_freesolv,real_moleculenet_lipophilicity,hybrid_gp,hybrid_value_prior_gp_ucb_gate_v1,hybrid_gp:hybrid_value_prior_gp_ucb_gate_v1,50,25,25,88.8775,3.5911,86.727,3.4202,0.16,0.3666,175.7645,88.725,3.1167,86.6745,2.969,0.12,0.325,175.5195,89.03,4.0039,86.7795,3.8177,0.2,0.4,176.0095
real_moleculenet_freesolv,real_moleculenet_lipophilicity,hybrid_gp,hybrid_value_prior_gp_ucb_no_gate,hybrid_gp:hybrid_value_prior_gp_ucb_no_gate,50,25,25,88.8725,3.5845,86.7265,3.4194,0.16,0.3666,175.759,88.725,3.1167,86.6745,2.969,0.12,0.325,175.5195,89.02,3.9924,86.7785,3.8163,0.2,0.4,175.9985
real_moleculenet_freesolv,real_moleculenet_lipophilicity,value_prior,transfer_strict_gate_v1,value_prior:transfer_strict_gate_v1,50,25,25,87.12,3.2781,85.541,4.0764,0.04,0.196,172.701,86.92,3.0448,85.437,3.9352,0.0,0.0,172.357,87.32,3.4844,85.645,4.2104,0.08,0.2713,173.045
real_moleculenet_freesolv,real_moleculenet_lipophilicity,value_prior,transfer_value_prior_gate_v1,value_prior:transfer_value_prior_gate_v1,50,25,25,90.0625,3.6914,87.966,3.3587,0.3,0.4583,178.3285,90.2,3.8968,88.29,3.5119,0.36,0.48,178.85,89.925,3.4684,87.642,3.1651,0.24,0.4271,177.807
real_moleculenet_freesolv,real_moleculenet_lipophilicity,value_prior,transfer_value_prior_strict_gate_v1,value_prior:transfer_value_prior_strict_gate_v1,50,25,25,88.1625,3.9866,86.182,4.1503,0.16,0.3666,174.5045,87.625,4.2524,85.803,4.4041,0.12,0.325,173.548,88.7,3.623,86.561,3.8427,0.2,0.4,175.461
real_moleculenet_freesolv,real_moleculenet_lipophilicity,weighted_kernel,transfer_weighted_gp_ucb_scale_1p5,weighted_kernel:transfer_weighted_gp_ucb_scale_1p5,50,25,25,88.565,3.4113,86.6808,3.3834,0.08,0.2713,175.3258,88.815,2.964,86.8465,3.1518,0.08,0.2713,175.7415,88.315,3.79,86.515,3.5925,0.08,0.2713,174.91
real_moleculenet_freesolv,real_moleculenet_lipophilicity,weighted_kernel,transfer_weighted_gp_ucb_scale_4,weighted_kernel:transfer_weighted_gp_ucb_scale_4,50,25,25,88.5025,3.3413,86.38,3.0135,0.12,0.325,175.0025,88.995,2.975,86.8815,2.3977,0.12,0.325,175.9965,88.01,3.6045,85.8785,3.4511,0.12,0.325,174.0085
real_moleculenet_lipophilicity,real_moleculenet_freesolv,value_prior,transfer_value_prior_gate_v1,value_prior:transfer_value_prior_gate_v1,50,25,25,67.0507,16.7555,57.6708,16.9343,0.68,0.4665,125.4015,67.2333,16.9549,56.6977,17.2711,0.68,0.4665,124.611,66.868,16.5517,58.6439,16.5335,0.68,0.4665,126.1919
real_moleculenet_lipophilicity,real_moleculenet_freesolv,value_prior,transfer_value_prior_strict_gate_v1,value_prior:transfer_value_prior_strict_gate_v1,50,25,25,65.3753,17.9479,56.9143,17.194,0.58,0.4936,122.8696,65.976,18.1318,56.0337,17.5294,0.6,0.4899,122.6097,64.7747,17.7419,57.7948,16.8059,0.56,0.4964,123.1295
real_suzuki_miyaura,real_buchwald_hartwig,hybrid_gp,hybrid_transfer_gp_ucb_gate_v1,hybrid_gp:hybrid_transfer_gp_ucb_gate_v1,50,25,25,90.7886,9.0508,83.1863,10.6651,0.26,0.4386,174.2349,91.1468,7.6891,86.2137,7.4275,0.28,0.449,177.6405,90.4304,10.2204,80.1589,12.4093,0.24,0.4271,170.8293
real_suzuki_miyaura,real_buchwald_hartwig,hybrid_gp,hybrid_transfer_gp_ucb_no_gate,hybrid_gp:hybrid_transfer_gp_ucb_no_gate,50,25,25,90.7886,9.0508,83.1863,10.6651,0.26,0.4386,174.2349,91.1468,7.6891,86.2137,7.4275,0.28,0.449,177.6405,90.4304,10.2204,80.1589,12.4093,0.24,0.4271,170.8293
real_suzuki_miyaura,real_buchwald_hartwig,hybrid_gp,hybrid_value_prior_gp_ucb_gate_v1,hybrid_gp:hybrid_value_prior_gp_ucb_gate_v1,50,25,25,90.7886,9.0508,83.1863,10.6651,0.26,0.4386,174.2349,91.1468,7.6891,86.2137,7.4275,0.28,0.449,177.6405,90.4304,10.2204,80.1589,12.4093,0.24,0.4271,170.8293
real_suzuki_miyaura,real_buchwald_hartwig,hybrid_gp,hybrid_value_prior_gp_ucb_no_gate,hybrid_gp:hybrid_value_prior_gp_ucb_no_gate,50,25,25,90.7886,9.0508,83.1863,10.6651,0.26,0.4386,174.2349,91.1468,7.6891,86.2137,7.4275,0.28,0.449,177.6405,90.4304,10.2204,80.1589,12.4093,0.24,0.4271,170.8293
real_suzuki_miyaura,real_buchwald_hartwig,transfer_gate,transfer_gate_v1,transfer_gate:transfer_gate_v1,50,25,25,89.0866,12.054,81.0779,11.8737,0.24,0.4271,170.4045,89.6426,10.7841,82.3468,10.4261,0.24,0.4271,172.2294,88.5306,13.1789,79.809,13.0402,0.24,0.4271,168.5796
real_suzuki_miyaura,real_buchwald_hartwig,transfer_gate,transfer_strict_gate_v1,transfer_gate:transfer_strict_gate_v1,50,25,25,87.6158,11.0097,80.2528,12.7058,0.16,0.3666,168.0286,86.96,10.3965,81.4331,11.4057,0.16,0.3666,168.5531,88.2716,11.5533,79.0726,13.7841,0.16,0.3666,167.5042
