source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations,development_target
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80006,3,12,84.0,83.733333,14.7,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80006,3,12,83.9,83.491667,14.8,0,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80006,3,12,84.0,83.666667,14.7,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80006,3,12,84.0,83.533333,14.7,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80006,3,12,85.4,84.483333,13.3,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80007,3,12,91.8,91.8,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80007,3,12,91.8,91.8,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80007,3,12,91.8,91.8,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80007,3,12,91.8,91.8,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80007,3,12,91.8,91.8,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80007,3,12,91.8,91.8,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80007,3,12,91.8,91.8,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80008,3,12,98.7,98.7,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80008,3,12,98.7,98.7,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_icm_bma,80008,3,12,98.7,98.7,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.10_0.00,80008,3,12,98.7,98.7,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.25_0.00,80008,3,12,98.7,98.7,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.40_0.05,80008,3,12,98.7,98.7,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,skill_prior_0.55_0.10,80008,3,12,98.7,98.7,0.0,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,target_gp_ucb,80009,3,12,91.8,89.516667,6.9,1,2,192,real_reizman_suzuki_case_1
real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_1,multisource_rgpe,80009,3,12,83.9,80.516667,14.8,1,2,192,real_reizman_suzuki_case_1
