condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_99725,99725,-0.020999535600786535,-0.0458487507570525,0.0038496795554794246,-0.0004063923172182843,-0.04754483228387399,0.04673204764943742,0.0,0.0,0.0,47,20,33
permuted_source_outcomes_99726,99726,-0.06264021830062183,-0.08760730760925312,-0.037673128991990545,-0.11692319166305759,-0.16279373091954968,-0.0710526524065655,0.0,0.0,0.0,25,25,50
permuted_source_outcomes_99727,99727,-0.04293009212560861,-0.08041460892605316,-0.0054455753251640565,-0.09829664585320266,-0.15756128311960416,-0.039032008586801156,0.02,-0.007578237650712777,0.04757823765071278,14,38,48
permuted_source_outcomes_99728,99728,-0.024987097034681535,-0.052606390989261516,0.0026321969198984455,-0.0735418367533323,-0.11899053531036331,-0.028093138196301284,0.0,0.0,0.0,35,25,40
permuted_source_outcomes_99729,99729,-0.04071588008943154,-0.06572038633028182,-0.01571137384858127,-0.07275128795427746,-0.118636458375207,-0.026866117533347916,0.0,0.0,0.0,36,22,42
permuted_source_outcomes_99730,99730,-0.05184567745273243,-0.07672086363121271,-0.02697049127425215,-0.10341372268860546,-0.15010149422707433,-0.05672595115013659,0.0,0.0,0.0,25,32,43
permuted_source_outcomes_99731,99731,0.24696441275378558,0.15035758677371433,0.34357123873385687,0.26757168140002696,0.16498212071039325,0.37016124208966067,0.29,0.20061458777187452,0.37938541222812544,54,16,30
permuted_source_outcomes_99732,99732,-0.06911648820926215,-0.09339316769735306,-0.04483980872117124,-0.1336712196700942,-0.1781731898084338,-0.08916924953175462,0.0,0.0,0.0,11,35,54
permuted_source_outcomes_99733,99733,-0.05516001238843276,-0.08009173286256269,-0.03022829191430283,-0.1004621724442531,-0.14876478311887079,-0.05215956176963541,0.0,0.0,0.0,35,22,43
permuted_source_outcomes_99734,99734,0.05765536593627419,0.02575728955874034,0.08955344231380805,0.19950248949173816,0.13583517316637755,0.26316980581709876,0.0,0.0,0.0,65,13,22
permuted_source_outcomes_99735,99735,-0.06052681894127932,-0.08525963234070234,-0.0357940055418563,-0.11257816957113809,-0.15884521234707158,-0.0663111267952046,0.0,0.0,0.0,21,28,51
permuted_source_outcomes_99736,99736,-0.007866261021238528,-0.04871151676345514,0.032978994720978094,-0.03272734752535521,-0.09624459700966748,0.03078990195895706,0.0,0.0,0.0,19,34,47
permuted_source_outcomes_99737,99737,-0.04861714225296983,-0.07304700819779772,-0.02418727630814194,-0.1070199445302776,-0.1528901485452836,-0.06114974051527162,0.0,0.0,0.0,35,23,42
permuted_source_outcomes_99738,99738,0.08872173729815432,0.04442472644482438,0.13301874815148423,0.05299225258562045,-0.004893507372235005,0.1108780125434759,0.0,0.0,0.0,47,17,36
permuted_source_outcomes_99739,99739,-0.047110623316551664,-0.07268333613422052,-0.021537910498882804,-0.10116073038119502,-0.14531639271900126,-0.0570050680433888,0.0,0.0,0.0,31,26,43
permuted_source_outcomes_99740,99740,-0.016334515503277566,-0.0557960790885273,0.02312704808197217,-0.03381848535560981,-0.10075590191135178,0.03311893120013217,0.01,-0.009599999999999996,0.029599999999999994,22,31,47
permuted_source_outcomes_99741,99741,-0.06674013770300498,-0.09042158200441666,-0.043058693401593295,-0.12722385615764628,-0.1700521725669754,-0.08439553974831714,0.0,0.0,0.0,13,34,53
permuted_source_outcomes_99742,99742,0.09157868762092594,0.0574170247896734,0.1257403504521785,0.24821236164773863,0.1828779371736523,0.31354678612182496,0.0,0.0,0.0,60,16,24
permuted_source_outcomes_99743,99743,-0.05994350431118387,-0.08370311887473693,-0.036183889747630815,-0.11150520887948243,-0.16053015845856083,-0.062480259300404004,0.0,0.0,0.0,18,31,51
permuted_source_outcomes_99744,99744,-0.005680957927220046,-0.040213379795302616,0.028851463940862528,0.008945757593730612,-0.04855442906752615,0.06644594425498737,0.0,0.0,0.0,39,22,39
permuted_source_outcomes_99745,99745,0.006903674252310971,-0.01707336527539386,0.030880713780015806,-0.05534347381521575,-0.10030472300097634,-0.010382224629455164,0.0,0.0,0.0,57,17,26
permuted_source_outcomes_99746,99746,0.09258835283670395,0.04096916728873467,0.14420753838467323,0.05195116584520385,-0.015330716230159157,0.11923304792056685,0.0,0.0,0.0,56,17,27
permuted_source_outcomes_99747,99747,-0.06149389123617574,-0.08540835247211458,-0.037579430000236905,-0.12397785010818282,-0.16823394393110958,-0.07972175628525609,0.0,0.0,0.0,16,35,49
permuted_source_outcomes_99748,99748,-0.027857788367827888,-0.05955390145839327,0.003838324722737492,-0.0648453706210774,-0.12416239725876163,-0.0055283439833931705,0.0,0.0,0.0,24,30,46
permuted_source_outcomes_99749,99749,0.006348971447751022,-0.017404197794432988,0.030102140689935032,-0.05254115940941277,-0.09686412660953511,-0.008218192209290424,0.0,0.0,0.0,54,18,28
permuted_source_outcomes_99750,99750,0.11097409935354462,0.08435008976153434,0.1375981089455549,0.13088937387498778,0.08407863928391436,0.1777001084660612,0.01,-0.009599999999999996,0.029599999999999994,71,14,15
permuted_source_outcomes_99751,99751,-0.06511721365461988,-0.08933831272344271,-0.04089611458579705,-0.11761385567475757,-0.1652618705882055,-0.06996584076130966,0.0,0.0,0.0,17,32,51
permuted_source_outcomes_99752,99752,-0.05084077946594188,-0.07568357939697108,-0.02599797953491267,-0.10200311447338076,-0.1482582501893255,-0.055747978757436006,0.0,0.0,0.0,27,28,45
permuted_source_outcomes_99753,99753,-0.05671754362428067,-0.0805662864877214,-0.03286880076083993,-0.10104682992065765,-0.14806377566393875,-0.054029884177376565,0.0,0.0,0.0,30,27,43
permuted_source_outcomes_99754,99754,-0.04486089196206061,-0.06969915967965012,-0.020022624244471102,-0.0717446887355976,-0.1193865553109048,-0.024102822160290402,0.0,0.0,0.0,26,27,47
permuted_source_outcomes_99755,99755,0.2600667379585927,0.2172620351112084,0.302871440805977,0.5831281622916894,0.5051280267435763,0.6611282978398025,0.0,0.0,0.0,84,3,13
permuted_source_outcomes_99756,99756,-0.04390160268873504,-0.06787694293569846,-0.019926262441771612,-0.0920689830082225,-0.1359686882837585,-0.0481692777326865,0.0,0.0,0.0,42,19,39
permuted_source_outcomes_99757,99757,-0.06499914878346015,-0.08915030047440277,-0.04084799709251753,-0.12732938895929957,-0.17164223650127286,-0.08301654141732628,0.0,0.0,0.0,16,33,51
permuted_source_outcomes_99758,99758,-0.03652138987657642,-0.059903052422420236,-0.013139727330732598,-0.047164026053147394,-0.08891443230053422,-0.005413619805760557,0.0,0.0,0.0,42,19,39
permuted_source_outcomes_99759,99759,-0.008953936403468756,-0.03592471216182751,0.018016839354889992,-0.04770802863298273,-0.09428306808079218,-0.0011329891851732873,0.0,0.0,0.0,47,19,34
permuted_source_outcomes_99760,99760,0.19731172802492022,0.1558789293124059,0.23874452673743454,0.3480214289160555,0.2797648393315947,0.41627801850051627,0.01,-0.009599999999999996,0.029599999999999994,76,12,12
permuted_source_outcomes_99761,99761,-0.015736884410941756,-0.04074058708154962,0.009266818259666108,0.01029533922907598,-0.035621573510561416,0.05621225196871338,0.0,0.0,0.0,45,20,35
permuted_source_outcomes_99762,99762,-0.03510078959719378,-0.058881927814204454,-0.011319651380183104,-0.0868758254995728,-0.1293495678680191,-0.04440208313112651,0.0,0.0,0.0,35,27,38
permuted_source_outcomes_99763,99763,-0.05515075631099111,-0.08287485048853033,-0.027426662133451893,-0.09593244355725576,-0.15986933138064846,-0.03199555573386305,0.03,-0.003603535167561997,0.063603535167562,21,31,48
