source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94123,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94123,3,12,68.3504,44.034017,23.253,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94123,3,12,25.1631,25.1631,66.4403,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94124,3,12,91.0347,88.407225,0.5687,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94124,3,12,41.3832,41.3832,50.2202,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94124,3,12,91.0347,85.17535,0.5687,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94124,3,12,41.3832,41.3832,50.2202,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94125,3,12,46.0778,44.92705,45.5256,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94125,3,12,66.2415,63.606083,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94125,3,12,90.5524,82.587383,1.051,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94125,3,12,34.6165,34.6165,56.9869,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94126,3,12,90.9834,90.329917,0.62,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94126,3,12,66.2415,63.472833,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94126,3,12,91.6034,81.9554,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94126,3,12,33.0175,33.0175,58.5859,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94127,3,12,90.9834,88.179575,0.62,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94127,3,12,66.2415,63.3742,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94127,3,12,91.6034,82.002792,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94127,3,12,31.8339,31.8339,59.7695,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94128,3,12,74.0807,70.195142,17.5227,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94128,3,12,58.35,56.149,33.2534,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94128,3,12,74.0807,69.071083,17.5227,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94128,3,12,51.747,51.747,39.8564,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94129,3,12,91.6034,83.873475,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94129,3,12,66.2415,63.4002,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94129,3,12,91.6034,71.38725,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94129,3,12,66.8332,63.942592,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94130,3,12,87.1265,85.4832,4.4769,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94130,3,12,66.2415,63.49395,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94130,3,12,63.2281,63.2281,28.3753,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94130,3,12,33.2709,33.2709,58.3325,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94131,3,12,47.0628,44.079117,44.5406,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94131,3,12,66.2415,63.431842,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94131,3,12,51.3638,40.90965,40.2396,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94131,3,12,32.7082,32.692983,58.8952,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94132,3,12,91.6034,59.688825,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94132,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94132,3,12,66.0605,41.197558,25.5429,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94132,3,12,66.8332,53.49555,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94133,3,12,91.6034,60.838592,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94133,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94133,3,12,41.86,39.509425,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94133,3,12,29.1932,29.1932,62.4102,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94134,3,12,57.0325,55.32025,34.5709,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94134,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94134,3,12,91.6034,82.002792,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94134,3,12,39.3879,31.320083,52.2155,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94135,3,12,84.3384,77.01005,7.265,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94135,3,12,41.86,41.328175,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94135,3,12,84.3384,80.207958,7.265,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94135,3,12,66.8332,53.89075,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94136,3,12,87.1479,86.445525,4.4555,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94136,3,12,66.2415,63.549358,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94136,3,12,83.3092,67.466683,8.2942,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94136,3,12,34.7592,34.073033,56.8442,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94137,3,12,57.0325,57.0325,34.5709,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94137,3,12,66.2415,63.330008,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94137,3,12,41.86,39.517575,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94137,3,12,34.7592,32.743433,56.8442,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94138,3,12,70.8909,70.8909,20.7125,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94138,3,12,66.2415,64.820558,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94138,3,12,91.6034,79.638183,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94138,3,12,49.1902,49.1902,42.4132,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94139,3,12,90.9834,90.329917,0.62,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94139,3,12,90.9834,87.379217,0.62,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94139,3,12,90.9834,89.016267,0.62,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94139,3,12,79.1806,79.1806,12.4228,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94140,3,12,87.9393,81.612317,3.6641,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94140,3,12,60.4039,59.8238,31.1995,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94140,3,12,84.3384,68.10965,7.265,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94140,3,12,66.8332,59.541783,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94141,3,12,34.3883,34.3883,57.2151,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94141,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94141,3,12,47.8604,40.9,43.743,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94141,3,12,26.4513,26.394317,65.1521,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94142,3,12,72.2444,67.8017,19.359,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94142,3,12,41.86,41.16875,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94142,3,12,72.2444,62.479925,19.359,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94142,3,12,40.1365,40.1365,51.4669,0,1,512
