source_dataset,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_observations,source_inducing_points,pair_id,split
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70016,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70017,2,13,45.375,44.442308,54.625,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70017,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70017,2,13,45.375,43.980769,54.625,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70018,2,13,46.25,42.346154,53.75,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70018,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70018,2,13,100.0,49.413462,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70019,2,13,52.5,34.865385,47.5,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70019,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70019,2,13,100.0,63.173077,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70020,2,13,63.75,32.586538,36.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70020,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70020,2,13,100.0,49.509615,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70021,2,13,28.75,19.086538,71.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70021,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70021,2,13,28.75,21.451923,71.25,0,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,target_gp_ucb,70022,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,rgpe,70022,2,13,100.0,100.0,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
real_matbench_dielectric,real_matbench_expt_gap,multitask_gp_icm,70022,2,13,100.0,69.230769,0.0,1,2048,256,materials_dielectric_to_expt_gap,calibration
