source_dataset,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_observations,source_inducing_points,pair_id,split
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70020,2,13,90.0,85.865385,3.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70021,2,13,87.5,85.480769,6.25,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70021,2,13,87.125,85.942308,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70021,2,13,85.0,83.076923,8.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70022,2,13,90.0,86.423077,3.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70022,2,13,80.875,80.875,12.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70022,2,13,85.0,82.144231,8.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70023,2,13,87.5,86.923077,6.25,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70023,2,13,87.125,86.653846,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70023,2,13,88.75,88.557692,5.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70024,2,13,88.75,88.75,5.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70024,2,13,88.75,88.75,5.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70024,2,13,88.75,88.75,5.0,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70025,2,13,93.75,87.634615,0.0,1,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70025,2,13,90.0,85.288462,3.75,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70025,2,13,87.5,86.057692,6.25,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70026,2,13,92.125,83.192308,1.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70026,2,13,92.125,84.759615,1.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70026,2,13,92.375,85.961538,1.375,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70027,2,13,84.875,84.615385,8.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,rgpe,70027,2,13,87.125,84.009615,6.625,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,multitask_gp_icm,70027,2,13,89.875,87.990385,3.875,0,600,256,molecular_freesolv_to_lipophilicity,calibration
real_moleculenet_freesolv,real_moleculenet_lipophilicity,target_gp_ucb,70028,2,13,93.5,86.0,0.25,1,600,256,molecular_freesolv_to_lipophilicity,calibration
